"Code","Country","Día30","ContagDía30","infoalawk","HDI","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Día7","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)"
"SAU","Saudi Arabia",2020-03-09,15,2,0.857,83.84,16.16,5.23025318980217,23338.9634581127,89.81,2020-03-30,0.3234982,"Sin apoyo",15.6766543082956,6
"SDN","Sudan",2020-04-19,66,2,0.5075,34.64,65.36,6.34180754423141,623.867252394076,56.48,2020-03-19,-1.619857,"Sin apoyo",NA,20
"SEN","Senegal",2020-03-09,4,2,0.5138,47.19,52.81,4.13406379520893,1465.59100640191,77.78,2020-04-07,-0.2678156,"Menos del 50% del sueldo",82.3474783150678,48
"SGP","Singapore",2020-02-28,93,2,0.9348,100,0,4.44038286805153,66188.7793961798,38.89,2020-03-27,2.231474,"Sin apoyo",7952.9984184018,2
"SLE","Sierra Leone",2020-04-08,7,1,0.4385,42.06,57.94,13.4209275245667,533.991184258936,80.56,2020-04-29,-1.142948,"Sin apoyo",105.987170961485,15
"SLV","El Salvador",2020-04-24,274,2,0.6667,72.02,27.98,7.22756013274193,4067.65944881154,88.89,2020-04-06,-0.4471425,"Menos del 50% del sueldo",309.881467181467,7
"SRB","Serbia",2020-04-12,3630,2,0.7993,56.09,43.91,8.43395814299583,7246.19198607054,100,2020-03-26,0.1116198,"Sin apoyo",79.8376857992225,14
"SSD","South Sudan",2020-05-12,194,2,0.4128,19.61,80.39,9.76099446415901,NA,73.15,2020-05-21,-2.449409,"Menos del 50% del sueldo",NA,NA
"SUR","Suriname",2020-04-02,10,2,0.7237,66.06,33.94,6.2297698110342,6003.723065571,82.41,2020-04-09,-0.6553037,"Sin apoyo",3.69225,9
"SVN","Slovenia",2020-04-11,1188,2,0.9016,54.54,45.46,8.18701758980751,26054.5421049784,78.7,2020-03-20,1.125806,"Sin apoyo",102.96366052404,7
"SWE","Sweden",2020-03-01,14,0,0.9366,87.43,12.57,11.0187463462353,54589.0603860606,16.67,2020-03-16,1.830975,"Más del 50% del sueldo",24.9814981218237,7
"TCD","Chad",2020-04-24,40,2,0.4012,23.06,76.94,4.48730140924454,726.149881109447,88.89,2020-05-04,-1.528847,"Sin apoyo",12.2917336404066,NA
"TGO","Togo",2020-04-12,76,2,0.5127,41.7,58.3,6.19951225817204,678.95563806112,73.15,2020-04-02,-1.057791,"Sin apoyo",145.046773303916,7
"THA","Thailand",2020-02-27,40,0,0.7646,49.95,50.05,3.74601632356644,7295.47561612095,16.67,2020-03-07,0.3499596,"Sin apoyo",135.897206835131,1
"UZB","Uzbekistan",2020-04-20,1627,2,0.7105,50.48,49.52,6.41438513994217,1529.08286351335,90.74,2020-04-02,-0.5470828,"Sin apoyo",77.4708509637988,5
"YEM","Yemen",2020-05-17,128,1,0.4627,36.64,63.36,NA,968.159047582999,56.48,2020-05-06,-2.244354,"Sin apoyo",53.9778529083092,27
"ZAF","South Africa",2020-04-11,2028,2,0.7049,66.36,33.65,8.11311826109886,6374.02819575944,87.96,2020-04-02,0.3403786,"Sin apoyo",47.6301197767684,28
"ZMB","Zambia",2020-04-23,76,2,0.5915,43.52,56.48,4.47034128010273,1556.33448154128,47.22,2020-04-08,-0.5592093,"Sin apoyo",23.3414789007116,15
"ZWE","Zimbabwe",2020-04-25,31,1,0.5631,32.21,67.79,6.63591623306274,1683.74057709465,62.04,2020-03-29,-1.19886,"Sin apoyo",37.3245909267158,11
